date,title,summary,link,sentiment
2025-10-04,Apple or Super Micro Computer: Bernstein Selects the Top AI Hardware Stock to Buy,"ChatGPT’s introduction of generative AI sparked an AI boom that continues to reverberate through the markets today. One thing is already clear: much of the conversation around AI centers on its capabilities, and those capabilities are nearly endless. AI has the potential to bring greater efficiency to a wide range of fields, likely extending to far more applications than we can currently imagine. While AI may interact with us through software, it still relies on a physical backbone – processor c",https://finance.yahoo.com/news/apple-super-micro-computer-bernstein-115710601.html?.tsrc=rss,0.9062
2025-10-04,How carrier incentives allow iPhones to be more affordable,"Investing.com -- Bank of America said in a note this week that aggressive carrier incentives can make iPhones more accessible, despite higher base prices for Apple’s latest models.",https://finance.yahoo.com/news/carrier-incentives-allow-iphones-more-103002357.html?.tsrc=rss,0.5994
2025-10-04,Magnificent Seven surpass EU GDP: Is this a tech bubble warning?,"The combined market value of the US 'Magnificent Seven' tech giants has surpassed the EU’s GDP, raising concerns of a tech bubble. While valuations are high, comparisons to the dot-com era suggest this may be a structural shift.View on euronews",https://www.euronews.com/business/2025/10/04/magnificent-seven-surpass-eu-gdp-is-this-a-tech-bubble-warning?utm_source=yahoo&utm_campaign=feeds_business_articles_2024&utm_medium=referral&.tsrc=rss,0.8807
2025-10-04,'We threw phone cases from a 250-metre-high dam to show that our products work',Mous co-founder James Griffith embraced publicity stunts to help turn the phone case brand into a £30m success story.,https://uk.finance.yahoo.com/news/mous-phone-cases-entrepreneur-london-050046379.html?.tsrc=rss,0.7506
2025-10-06,"Stocks to Watch Recap: Apple, Applied Materials, Chevron, Broadcom",↗️ Apple (AAPL): Shares in the tech giant are trading near their all-time high from last December. Strong demand for new iPhone 17s have pushed Apple stock higher in recent weeks. The shares rose 0.3% Friday.,https://finance.yahoo.com/m/e31071a5-6558-318b-9e5a-20b6601034fa/stocks-to-watch-recap%3A-apple%2C.html?.tsrc=rss,0.7351
2025-10-06,"These Stocks Moved the Most Today: Tesla, Applied Materials, Apple, Plug Power, Wynn Resorts, Rumble, and More","Stocks were mostly higher Friday as investors continued to shrug off the government shutdown.  Tesla  declined 1.4%, extending losses from Thursday’s session when it fell 5.1% after it reported third-quarter deliveries of 497,099 cars, a record for any quarter.  Tesla stock has gained 4.3% this year.",https://finance.yahoo.com/m/d75482b2-59b4-3ede-9953-c2fc5049c97c/these-stocks-moved-the-most.html?.tsrc=rss,-0.0258
2025-10-06,"AMD not fabbing at Intel, says SemiAccurate; shares retreat","Shares of Advanced Micro Devices Inc (NASDAQ:AMD) fell 2.9% on Friday and Intel Corporation (NASDAQ:INTC) slipped 1.1% late Friday, paring some midweek gains fueled by reports of a potential manufacturing deal between the two rivals. The pullback came as SemiAccurate published a blunt rebuttal of the rumors, stating there is no agreement and dismissing the speculation as baseless.",https://finance.yahoo.com/news/amd-not-fabbing-intel-says-202247952.html?.tsrc=rss,0.8625
2025-10-06,"Tech Industry Groups Push Back on Trump’s $100,000 H-1B Visa Fee","A coalition of tech industry groups sent a letter to President Trump urging him to reconsider a new $100,000 fee for H-1B holders, arguing that the policy shift would hurt the U.S. in the artificial-intelligence race.  The new fee is testing the relationship between the tech industry and the White House after many executives have increased their U.S. spending and appealed to Trump.",https://finance.yahoo.com/m/d68916a8-1df3-3187-ad6b-31a79eb8c333/tech-industry-groups-push.html?.tsrc=rss,-0.6486
2025-10-03,AAPL: Jefferies Downgrades Apple To 'Underperform' Citing Foldable iPhone Risks,"Jefferies Turns Bearish On Apple, Questions Demand For $2K Foldable iPhone",https://finance.yahoo.com/news/aapl-jefferies-downgrades-apple-underperform-191710055.html?.tsrc=rss,-0.3818
2025-10-03,Apple analyst unveils dire forecast after iPhone 17 launch,Apple started selling the latest version of its iPhone a month ago.,https://www.thestreet.com/technology/apple-analyst-has-a-dire-short-term-forecast-for-the-company?.tsrc=rss,-0.4588
2025-10-03,"Samsung puts crypto in 75 million pockets, Apple refuses to play","Samsung, in partnership with Coinbase One, has rolled out built-in crypto access for all Galaxy users across the U.S.",https://www.thestreet.com/crypto/business/samsung-puts-crypto-in-75-million-pockets-apple-refuses-to-play?.tsrc=rss,0.34
2025-10-03,Jeff Bezos Is the Latest Tech Executive to Talk About an AI ‘Bubble.’ Why He’s Still Optimistic.,"Amazon.com  founder Jeff Bezos says that while artificial intelligence is facing an “industrial bubble,” the technology will still have significant positive effects on society.  The fever of enthusiasm over the technology “doesn’t mean that anything that’s happening isn’t real,” he said.  Bezos, who was CEO of the e-commerce company when the dot-com bubble burst in 2000, was asked for his thoughts on a potential AI bubble in an interview at Italian Tech Week in Turin, Italy, on Friday.",https://finance.yahoo.com/m/48eb594a-78c8-3a6b-80d3-f275d1ac58c3/jeff-bezos-is-the-latest-tech.html?.tsrc=rss,0.886
2025-10-03,The Magnificent Seven Stocks Are Roaring Again. Can They Keep Climbing?,"After lagging the S&amp;P 500's gains for most of 2025, the Magnificent 7 recently overtook the benchmark index to reclaim its lead.",https://www.investopedia.com/the-magnificent-seven-stocks-are-roaring-again-can-they-keep-climbing-11823869?.tsrc=rss,0.8442
2025-10-03,"Apple Bows to Washington Pressure, Removes ICE-Tracking Apps","Move follows deadly incident, highlights political scrutiny of tech platforms",https://finance.yahoo.com/news/apple-bows-washington-pressure-removes-175533394.html?.tsrc=rss,-0.296
2025-10-03,Jefferies Turns Bearish on Apple's iPhone Outlook,"Apple's stock is getting a rare downgrade. Jefferies cutting the iPhone maker to underperform - arguing investors are too bullish on the company's smartphone outlook at current valuations. Edison Lee, the analyst behind the call, joins ""Bloomberg Open Interest"" to talk about his move.",https://finance.yahoo.com/video/jefferies-turns-bearish-apples-iphone-170615569.html?.tsrc=rss,-0.128
2025-10-03,OpenAI’s Sora AI-Video App Is Now No. 1 on Apple’s App Store. Meta Stock Drops.,The app was released on Tuesday and is a near carbon copy of TikTok but exclusively features user-generated AI videos.,https://finance.yahoo.com/m/345cde5a-3e1c-351e-9b17-21ac84a135f6/openai%E2%80%99s-sora-ai-video-app-is.html?.tsrc=rss,-0.1531
2025-10-03,Detroit Carmakers Feud Over Trump’s Threatened Truck Tariffs,"Stellantis NV has lobbied the administration in recent days to waive or soften a possible 25% tariff that could otherwise hit medium-duty Ram pickups the company makes in Mexico, according to people familiar with the matter.  General Motors Co. and Ford Motor Co., meanwhile, have urged Trump administration officials to dismiss the request, said the people, who asked not to be identified because the discussions are private.",https://finance.yahoo.com/news/detroit-carmakers-feud-over-trump-142905081.html?.tsrc=rss,-0.6486
2025-10-03,Apple Drops ICE-Tracking Apps From App Store,"ICEBlock, a widely used app, was removed from the App Store after concerns were raised by the Justice Department that it could put law-enforcement officers at risk.",https://finance.yahoo.com/m/539a07e6-97eb-320b-897a-59d0d3607e2a/apple-drops-ice-tracking-apps.html?.tsrc=rss,0.3182
2025-10-03,Should Rachel Reeves hike taxes or cut benefit spending in budget? How readers voted,"As the autumn budget draws closer, speculation is swirling as to what policy changes Rachel Reeves could announce to help shore up the UK's public finances.",https://uk.finance.yahoo.com/news/budget-rachel-reeves-tax-cuts-benefits-poll-results-154627189.html?.tsrc=rss,0.5574
2025-10-03,Bank of England governor urges caution over financial deregulation for growth,"The speech effectively argued that while growth is important, regulation is needed to prevent another banking crisis.",https://uk.finance.yahoo.com/news/bank-of-england-growth-financial-stability-rachel-reeves-145932551.html?.tsrc=rss,0.34
