date,open,high,low,close,volume,return_1d,vol_5d,sma_5,sma_20
2025-06-06,203.0,205.7,202.05,203.92,46607693,-0.012112593173793651,0.013024332333088317,202.67999999999998,201.204
2025-06-09,204.39,206.0,200.02,201.45,72862557,-0.012112593173793651,0.013024332333088317,202.67999999999998,201.204
2025-06-10,200.6,204.35,200.57,202.67,54672608,0.006056093323405287,0.013024332333088317,202.67999999999998,201.204
2025-06-11,203.5,204.5,198.41,198.78,60989857,-0.01919376326047262,0.013024332333088317,201.70499999999998,201.204
2025-06-12,199.08,199.68,197.3601,199.2,43904635,0.0021128886205854513,0.011866219583083757,201.204,201.204
2025-06-13,199.73,200.37,195.7,196.45,51447349,-0.013805220883534086,0.010884496763863917,199.70999999999998,200.41166666666666
2025-06-16,197.3,198.685,196.5636,198.42,43020691,0.01002799694578771,0.0128146994428519,199.10399999999998,200.12714285714284
2025-06-17,197.2,198.39,195.21,195.64,38856152,-0.014010684406813856,0.012421177128134842,197.698,199.56625
2025-06-18,195.94,197.57,195.07,196.58,45394689,0.004804743406256584,0.011083336591630324,197.25799999999998,199.23444444444442
2025-06-20,198.235,201.7,196.855,201.0,96813542,0.02248448468816755,0.01579578044470901,197.618,199.411
2025-06-23,201.625,202.3,198.96,201.5,55814272,0.0024875621890547706,0.013215695486294256,198.628,199.6009090909091
2025-06-24,202.59,203.44,200.2,200.3,54064033,-0.005955334987593042,0.013668765706996336,199.00400000000002,199.65916666666666
2025-06-25,201.45,203.67,200.6201,201.56,39525730,0.006290564153769385,0.010350314556290994,200.18800000000002,199.8053846153846
2025-06-26,201.43,202.64,199.46,201.0,50799121,-0.0027783290335383626,0.0111016400935625,201.072,199.89071428571427
2025-06-27,201.89,203.22,200.0,201.08,73188571,0.0003980099502487455,0.004718674221334969,201.08800000000002,199.97
2025-06-30,202.01,207.39,199.2607,205.17,91912816,0.02034016311915643,0.010364543300919064,201.822,200.295
2025-07-01,206.665,210.1865,206.1401,207.82,78788867,0.012916118340888127,0.009377192161738391,203.326,200.73764705882354
